id|address|bldgnbr|predir|streetname|streettype|suffdir|city|state_code|zip5|zip4|latitude|longitude|fullfipsid|objectid|gid|geom|cty_rural|blk_rural,,
22554|1525 E STEWART ST WILLCOX AZ 85643|1525|E|STEWART|ST||WILLCOX|AZ|85643||32.2424|-109.812|040030002023022|10-1-04-2-8854|7325|0101000020E6100000000000E0F5735BC000000040081F4040|0|0,,
21440|500 N RAILROAD AVE WILLCOX AZ 85643|500|N|RAILROAD|AVE||WILLCOX|AZ|85643||32.2573|-109.828|040030002023037|10-1-04-2-7851|7326|0101000020E6100000000000A004755BC000000060EE204040|0|0,,
19774|522 N HASKELL AVE WILLCOX AZ 85643|522|N|HASKELL|AVE||WILLCOX|AZ|85643||32.2579|-109.829|040030002023039|10-1-04-2-6351|7327|0101000020E6100000000000400C755BC00000004004214040|0|0,,
18154|404 REX ALLEN DR WILLCOX AZ 85643|404||REX ALLEN|DR||WILLCOX|AZ|85643||32.264|-109.832|040030002023040|10-1-04-2-4894|7328|0101000020E6100000000000E046755BC000000040CB214040|0|0,,
19773|290 W REX ALLEN DR WILLCOX AZ 85643|290|W|REX ALLEN|DR||WILLCOX|AZ|85643||32.2637|-109.831|040030002023040|10-1-04-2-6350|7329|0101000020E6100000000000602A755BC0000000C0BF214040|0|0,,
20258|320 REX ALLEN DR WILLCOX AZ 85643|320||REX ALLEN|DR||WILLCOX|AZ|85643||32.2639|-109.831|040030002023040|10-1-04-2-6788|7330|0101000020E61000000000008032755BC000000080C6214040|0|0,,
22556|300 W REX ALLEN DR WILLCOX AZ 85643|300|W|REX ALLEN|DR||WILLCOX|AZ|85643||32.2638|-109.831|040030002023040|10-1-04-2-8856|7331|0101000020E61000000000002030755BC0000000C0C4214040|0|0,,
23525|622 N HASKELL AVE WILLCOX AZ 85643|622|N|HASKELL|AVE||WILLCOX|AZ|85643||32.26|-109.827|040030002023040|10-1-04-2-9728|7332|0101000020E610000000000060F5745BC00000000047214040|0|0,,
20259|303 W REX ALLEN DR WILLCOX AZ 85643|303|W|REX ALLEN|DR||WILLCOX|AZ|85643||32.2639|-109.831|040030002023045|10-1-04-2-6789|7333|0101000020E6100000000000E02F755BC000000080C6214040|0|0,,
17678|901 W REX ALLEN DR WILLCOX AZ 85643|901|W|REX ALLEN|DR||WILLCOX|AZ|85643||32.2643|-109.838|040030002023061|10-1-04-2-4465|7334|0101000020E610000000000080A3755BC000000080D3214040|0|0,,
23705|1105 REX ALLEN DR WILLCOX AZ 85643|1105||REX ALLEN|DR||WILLCOX|AZ|85643||32.2643|-109.84|040030002023063|10-1-04-2-9890|7335|0101000020E610000000000060C6755BC000000040D4214040|0|0,,
22558|250 N RAILROAD AVE WILLCOX AZ 85643|250|N|RAILROAD|AVE||WILLCOX|AZ|85643||32.2537|-109.83|040030002023088|10-1-04-2-8858|7336|0101000020E61000000000008021755BC0000000007A204040|0|0,,
22555|312 E STEWART ST WILLCOX AZ 85643|312|E|STEWART|ST||WILLCOX|AZ|85643||32.252|-109.828|040030002023094|10-1-04-2-8855|7337|0101000020E61000000000006002755BC00000000042204040|0|0,,
22559|101 S RAILROAD AVE WILLCOX AZ 85643|101|S|RAILROAD|AVE||WILLCOX|AZ|85643||32.2519|-109.831|040030002024000|10-1-04-2-8859|7338|0101000020E61000000000008034755BC0000000003E204040|0|0,,
21462|802 E MALEY ST WILLCOX AZ 85643|802|E|MALEY|ST||WILLCOX|AZ|85643||32.2493|-109.826|040030002024002|10-1-04-2-7871|7339|0101000020E6100000000000C0DA745BC0000000A0E81F4040|0|0,,
21418|2387 W HASKELL AVE WILLCOX AZ 85643|2387|W|HASKELL|AVE||WILLCOX|AZ|85643||32.2244|-109.869|040030002024046|10-1-04-2-7831|7340|0101000020E610000000000060A1775BC000000040BA1C4040|0|0,,
20742|709 S HASKELL AVE WILLCOX AZ 85643|709|S|HASKELL|AVE||WILLCOX|AZ|85643||32.2455|-109.837|040030002024123|10-1-04-2-7222|7341|0101000020E6100000000000A090755BC0000000406D1F4040|0|0,,
15757|5025 N BOWIE AVE COCHISE AZ 85606|5025|N|BOWIE|AVE||COCHISE|AZ|85606||32.1124|-109.92|040030002031053|10-1-04-2-2736|7342|0101000020E610000000000060DC7A5BC000000020630E4040|0|0,,
18227|5025 N BOWIE AVE COCHISE AZ 85606|5025|N|BOWIE|AVE||COCHISE|AZ|85606|88|32.1124|-109.92|040030002031053|10-1-04-2-496|7343|0101000020E610000000000060DC7A5BC000000020630E4040|0|0,,
21466|5400 E DRAGOON RD BENSON AZ 85609|5400|E|DRAGOON|RD||BENSON|AZ|85609||32.032|-109.991|040030002031089|10-1-04-2-7875|7344|0101000020E6100000000000806D7F5BC00000002019044040|0|0,,
21469|1685 E BIRCH RD SUNSITES AZ 85625|1685|E|BIRCH|RD||SUNSITES|AZ|85625||31.978|-109.805|040030002031138|10-1-04-2-7878|7345|0101000020E6100000000000A084735BC0000000405BFA3F40|0|0,,
19871|W HAVASU WAY COCHISE AZ 85606|0|W|HAVASU|WAY||COCHISE|AZ|85606||32.0142|-109.907|040030002032023|10-1-04-2-6439|7346|0101000020E610000000000040077A5BC000000020D0014040|0|0,,
19664|6 W HAVASU WAY COCHISE AZ 85606|6|W|HAVASU|WAY||COCHISE|AZ|85606||31.9924|-109.882|040030002032068|10-1-04-2-6252|7347|0101000020E6100000000000A06D785BC0000000400CFE3F40|0|0,,
16175|210 N FORD RD PEARCE AZ 85625|210|N|FORD|RD||PEARCE|AZ|85625|4042|31.9397|-109.833|040030002033053|10-1-04-2-3111|7348|0101000020E6100000000000C050755BC0000000E092F03F40|0|0,,
19663|105 N TRACY RD PEARCE AZ 85625|105|N|TRACY|RD||PEARCE|AZ|85625||31.9356|-109.839|040030002033063|10-1-04-2-6251|7349|0101000020E610000000000000B7755BC00000004080EF3F40|0|0,,
17258|850 S HWY 80 BENSON AZ 85602|850|S|HWY 80|||BENSON|AZ|85602||31.9559|-110.286|040030003011017|10-1-04-2-4087|7350|0101000020E61000000000002055925BC0000000A0B5F43F40|0|0,,
16926|732 W 4TH ST BENSON AZ 85602|732|W|4TH|ST||BENSON|AZ|85602||31.9708|-110.31|040030003012002|10-1-04-2-3789|7351|0101000020E610000000000020DF935BC00000004084F83F40|0|0,,
16245|450 S OCOTILLO ST BENSON AZ 85602|450|S|OCOTILLO|ST||BENSON|AZ|85602||31.9641|-110.307|040030003012010|10-1-04-2-3175|7352|0101000020E6100000000000E0A8935BC000000080D0F63F40|0|0,,
17914|300 S OCOTILLO BENSON AZ 85602|300|S|OCOTILLO|||BENSON|AZ|85602||31.9672|-110.307|040030003012010|10-1-04-2-4678|7353|0101000020E6100000000000C0A8935BC0000000C09BF73F40|0|0,,
21311|705 W UNION ST BENSON AZ 85602|705|W|UNION|ST||BENSON|AZ|85602||31.9627|-110.311|040030003012012|10-1-04-2-7735|7354|0101000020E6100000000000E0E1935BC0000000C071F63F40|0|0,,
18147|611 W UNION ST BENSON AZ 85602|611|W|UNION|ST||BENSON|AZ|85602||31.9626|-110.308|040030003012014|10-1-04-2-4888|7355|0101000020E6100000000000A0B3935BC0000000806EF63F40|0|0,,
20335|1025 STATE ROUTE 90 BENSON AZ 85602|1025||STATE ROUTE 90|||BENSON|AZ|85602||31.952|-110.341|040030003012015|10-1-04-2-6857|7356|0101000020E610000000000020D5955BC000000040B4F33F40|0|0,,
13838|618 S STHY 90 HWY BENSON AZ 85602|618|S|STHY 90|HWY||BENSON|AZ|85602||31.9629|-110.344|040030003012025|10-1-04-2-10321|7357|0101000020E6100000000000E006965BC0000000807DF63F40|0|0,,
45745|815 Elliott Rd|815||Elliott Rd|||Paradise|CA|95969||39.7598|-121.619|060070021001006|10-1-06-2-5398|22789|0101000020E610000000000080A1675EC00000006040E14340|0|0,,
19848|WARREN RD MESCAL AZ 85602|0||WARREN|RD||MESCAL|AZ|85602||31.9629|-110.344|040030003012025|10-1-04-2-6418|7358|0101000020E6100000000000E006965BC0000000807DF63F40|0|0,,
19849|S J SIX RANCH RD MESCAL AZ 85602|0|S|J SIX RANCH|RD||MESCAL|AZ|85602||31.9629|-110.344|040030003012025|10-1-04-2-6419|7359|0101000020E6100000000000E006965BC0000000807DF63F40|0|0,,
